Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,10,5823
1,1,0,0,0,5823
2,2,0,0,0,5823
3,3,0,0,0,5823
4,4,0,0,0,5823
5,5,0,0,0,5823
6,6,0,0,0,5823
7,7,0,0,0,5823
8,8,0,0,0,5823
9,9,0,0,0,5823
10,10,0,0,0,5823
11,11,0,0,0,5823
12,12,0,0,0,5823
13,13,0,0,0,5823
14,14,0,0,0,5823
15,15,0,0,0,5823
16,16,0,0,0,5823
17,17,0,0,0,5823
18,18,0,0,0,5823
19,19,0,0,0,5823
20,20,0,0,0,5823
21,21,0,0,0,5823
22,22,0,0,0,5823
23,23,0,0,0,5823
24,24,0,0,0,5823
25,25,0,0,0,5823
26,26,0,0,0,5823
27,27,0,0,0,5823
28,28,0,0,0,5823
29,29,0,0,0,5823
30,30,0,0,0,5823
31,31,0,0,0,5823
32,32,0,0,0,5823
33,33,0,0,0,5823
34,34,0,0,0,5823
35,35,0,0,0,5823
36,36,0,0,0,5823
37,37,0,0,0,5823
38,38,0,0,0,5823
39,39,0,0,0,5823
40,40,0,0,0,5823
41,41,0,0,0,5823
42,42,0,0,0,5823
43,43,0,0,0,5823
44,44,0,0,0,5823
45,45,0,0,0,5823
46,46,0,0,0,5823
47,47,0,0,0,5823
48,48,0,0,0,5823
49,49,0,0,0,5823
50,50,0,0,0,5823
51,51,0,0,0,5823
52,52,0,0,0,5823
53,53,0,0,0,5823
54,54,0,0,0,5823
55,55,0,0,0,5823
56,56,0,0,0,5823
57,57,0,0,0,5823
58,58,0,0,0,5823
59,59,0,0,0,5823
60,60,0,0,0,5823
61,61,0,0,0,5823
62,62,0,0,0,5823
63,63,0,0,0,5823
64,64,0,0,0,5823
65,65,0,0,0,5823
66,66,0,0,0,5823
67,67,0,0,0,5823
68,68,0,0,0,5823
69,69,0,0,0,5823
70,70,0,0,0,5823
71,71,0,0,0,5823
72,72,0,0,0,5823
73,73,0,0,0,5823
74,74,0,0,0,5823
75,75,0,0,0,5823
76,76,0,0,0,5823
77,77,0,0,0,5823
78,78,0,0,0,5823
79,79,0,0,0,5823
80,80,0,0,0,5823
81,81,0,0,0,5823
82,82,0,0,0,5823
83,83,0,0,0,5823
84,84,0,1,0,5823
85,85,0,1,0,5823
86,86,0,0,0,5823
87,87,0,0,0,5823
88,88,0,0,0,5823
89,89,0,0,0,5823
90,90,0,0,0,5823
91,91,0,0,0,5823
92,92,0,0,0,5823
93,93,0,0,0,5823
94,94,0,0,0,5823
95,95,0,0,0,5823
96,96,0,0,0,5823
97,97,0,0,0,5823
98,98,0,0,0,5823
99,99,0,0,0,5823
100,100,0,0,0,5823
101,101,0,0,0,5823
102,102,0,0,0,5823
103,103,0,0,0,5823
104,104,0,0,0,5823
105,105,0,0,0,5823
106,106,0,0,0,5823
107,107,0,0,0,5823
108,108,0,0,0,5823
109,109,0,0,0,5823
110,110,0,0,0,5823
111,111,0,0,0,5823
112,112,0,0,0,5823
113,113,0,0,0,5823
114,114,0,0,0,5823
115,115,0,0,0,5823
116,116,0,0,0,5823
117,117,0,0,0,5823
118,118,0,0,0,5823
119,119,0,0,0,5823
120,120,0,0,0,5823
121,121,0,0,0,5823
122,122,0,0,0,5823
123,123,0,0,0,5823
124,124,0,0,0,5823
125,125,0,0,0,5823
126,126,0,0,0,5823
127,127,0,0,0,5823
128,128,0,0,0,5823
129,129,0,0,0,5823
130,130,0,0,0,5823
131,131,0,0,0,5823
132,132,0,0,0,5823
133,133,0,0,0,5823
134,134,0,0,0,5823
135,135,0,0,0,5823
136,136,0,0,0,5823
137,137,0,0,0,5823
138,138,0,0,0,5823
139,139,0,0,0,5823
140,140,0,0,0,5823
141,141,0,0,0,5823
142,142,0,0,0,5823
143,143,0,0,0,5823
144,144,0,0,0,5823
145,145,0,0,0,5823
146,146,0,0,0,5823
147,147,0,0,0,5823
148,148,0,0,0,5823
149,149,0,0,0,5823
150,150,0,0,0,5823
151,151,0,0,0,5823
152,152,0,0,0,5823
153,153,0,0,0,5823
154,154,0,0,0,5823
155,155,0,0,0,5823
156,156,0,0,0,5823
157,157,0,0,0,5823
