Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
235,235,0,0,0,7342
236,236,0,0,0,7342
237,237,0,0,0,7342
238,238,0,0,0,7342
239,239,0,0,0,7342
240,240,0,0,0,7342
241,241,0,0,0,7342
242,242,0,0,0,7342
243,243,0,0,0,7342
244,244,0,0,0,7342
245,245,0,0,0,7342
246,246,0,0,0,7342
247,247,0,0,0,7342
248,248,0,0,0,7342
249,249,0,0,0,7342
250,250,0,0,0,7342
251,251,0,0,0,7342
252,252,0,0,0,7342
253,253,0,0,0,7342
254,254,0,0,0,7342
255,255,0,0,0,7342
256,256,0,0,0,7342
257,257,0,0,0,7342
258,258,0,0,0,7342
259,259,0,0,0,7342
260,260,0,0,0,7342
261,261,0,0,0,7342
262,262,0,0,0,7342
263,263,0,0,0,7342
264,264,0,0,0,7342
265,265,0,0,0,7342
266,266,0,0,0,7342
267,267,0,0,0,7342
268,268,0,0,0,7342
269,269,0,0,0,7342
270,270,0,0,0,7342
271,271,0,0,0,7342
272,272,0,0,0,7342
273,273,0,0,0,7342
274,274,0,0,0,7342
275,275,0,0,0,7342
276,276,0,0,0,7342
277,277,0,0,0,7342
278,278,0,0,0,7342
279,279,0,0,0,7342
280,280,0,0,0,7342
281,281,0,0,0,7342
282,282,0,0,0,7342
283,283,0,0,0,7342
284,284,0,0,0,7342
285,285,0,0,0,7342
286,286,0,0,0,7342
287,287,0,0,0,7342
288,288,0,0,0,7342
289,289,0,0,0,7342
290,290,0,0,0,7342
291,291,0,0,0,7342
292,292,0,0,0,7342
293,293,0,0,0,7342
294,294,0,0,0,7342
295,295,0,0,0,7342
296,296,0,0,0,7342
297,297,0,0,0,7342
298,298,0,0,0,7342
299,299,0,0,0,7342
300,300,0,0,0,7342
301,301,0,0,0,7342
302,302,0,0,0,7342
303,303,0,0,0,7342
304,304,0,0,0,7342
305,305,0,0,0,7342
306,306,0,0,0,7342
307,307,0,0,0,7342
308,308,0,0,0,7342
309,309,0,0,0,7342
310,310,0,0,0,7342
311,311,0,0,0,7342
312,312,0,0,0,7342
313,313,0,0,0,7342
314,314,0,0,0,7342
315,315,0,0,0,7342
316,316,0,0,0,7342
317,317,0,0,0,7342
318,318,0,0,0,7342
319,319,0,0,0,7342
320,320,0,0,0,7342
321,321,0,0,0,7342
322,322,0,0,0,7342
323,323,0,0,0,7342
324,324,0,0,0,7342
325,325,0,0,0,7342
326,326,0,0,0,7342
327,327,0,0,0,7342
328,328,0,0,0,7342
329,329,0,0,0,7342
330,330,0,0,0,7342
331,331,0,0,0,7342
332,332,0,0,0,7342
333,333,0,0,0,7342
334,334,0,0,0,7342
335,335,0,0,0,7342
336,336,0,0,0,7342
337,337,0,0,0,7342
338,338,0,0,0,7342
339,339,0,0,0,7342
340,340,0,0,0,7342
341,341,0,0,0,7342
342,342,0,0,0,7342
343,343,0,0,0,7342
344,344,0,0,0,7342
345,345,0,0,0,7342
346,346,0,0,0,7342
347,347,0,0,0,7342
348,348,0,0,0,7342
349,349,0,0,0,7342
350,350,0,0,0,7342
351,351,0,0,0,7342
352,352,0,0,0,7342
353,353,0,0,0,7342
354,354,0,0,0,7342
355,355,0,0,0,7342
356,356,0,0,0,7342
357,357,0,0,0,7342
358,358,0,0,0,7342
359,359,0,0,0,7342
360,360,0,0,0,7342
361,361,0,0,0,7342
362,362,0,0,0,7342
363,363,0,0,0,7342
364,364,0,0,0,7342
365,365,0,0,0,7342
366,366,0,0,0,7342
367,367,0,0,0,7342
368,368,0,0,0,7342
369,369,0,1,0,7342
370,370,0,0,0,7342
371,371,0,0,0,7342
372,372,0,0,0,7342
373,373,0,0,0,7342
374,374,0,0,0,7342
375,375,0,0,0,7342
376,376,0,0,0,7342
377,377,0,0,0,7342
378,378,0,0,0,7342
379,379,0,0,0,7342
380,380,0,0,0,7342
381,381,0,0,0,7342
382,382,0,0,0,7342
383,383,0,0,0,7342
384,384,0,0,0,7342
385,385,0,0,0,7342
386,386,0,0,0,7342
387,387,0,0,0,7342
388,388,0,0,0,7342
389,389,0,0,0,7342
390,390,0,0,0,7342
391,391,0,0,0,7342
392,392,0,0,0,7342
393,393,0,0,0,7342
394,394,0,0,0,7342
395,395,0,0,0,7342
396,396,0,0,0,7342
397,397,0,0,0,7342
398,398,0,0,0,7342
399,399,0,0,0,7342
400,400,0,0,0,7342
401,401,0,0,0,7342
402,402,0,0,0,7342
403,403,0,0,0,7342
404,404,0,0,0,7342
405,405,0,0,0,7342
406,406,0,0,0,7342
407,407,0,0,0,7342
408,408,0,0,0,7342
409,409,0,0,0,7342
410,410,0,0,0,7342
411,411,0,0,0,7342
412,412,0,0,0,7342
413,413,0,0,0,7342
414,414,0,0,0,7342
415,415,0,0,0,7342
416,416,0,0,0,7342
417,417,0,0,0,7342
418,418,0,0,0,7342
419,419,0,0,0,7342
420,420,0,0,0,7342
421,421,0,0,0,7342
422,422,0,0,0,7342
423,423,0,0,0,7342
424,424,0,0,0,7342
425,425,0,0,0,7342
426,426,0,0,0,7342
427,427,0,0,0,7342
428,428,0,0,0,7342
429,429,0,0,0,7342
430,430,0,0,0,7342
431,431,0,0,0,7342
432,432,0,0,0,7342
433,433,0,0,0,7342
434,434,0,0,0,7342
435,435,0,0,0,7342
436,436,0,0,0,7342
437,437,0,0,0,7342
438,438,0,0,0,7342
439,439,0,0,0,7342
440,440,0,0,0,7342
441,441,0,0,0,7342
442,442,0,0,0,7342
443,443,0,0,0,7342
444,444,0,0,0,7342
445,445,0,0,0,7342
446,446,0,0,0,7342
447,447,0,0,0,7342
448,448,0,0,0,7342
449,449,0,0,0,7342
450,450,0,0,0,7342
451,451,0,0,0,7342
452,452,0,0,0,7342
453,453,0,0,0,7342
454,454,0,0,0,7342
455,455,0,0,0,7342
456,456,0,0,0,7342
457,457,0,0,0,7342
458,458,0,0,0,7342
459,459,0,0,0,7342
460,460,0,0,0,7342
461,461,0,0,0,7342
462,462,0,0,0,7342
463,463,0,0,0,7342
464,464,0,0,0,7342
465,465,0,0,0,7342
466,466,0,0,0,7342
467,467,0,0,0,7342
468,468,0,0,0,7342
469,469,0,0,0,7342
470,470,0,0,0,7342
471,471,0,0,0,7342
472,472,0,0,0,7342
473,473,0,0,0,7342
474,474,0,0,0,7342
475,475,0,0,0,7342
476,476,0,0,0,7342
477,477,0,0,0,7342
478,478,0,0,0,7342
479,479,0,0,0,7342
480,480,0,0,0,7342
481,481,0,0,0,7342
482,482,0,0,0,7342
483,483,0,0,0,7342
484,484,0,0,0,7342
485,485,0,0,0,7342
486,486,0,0,0,7342
487,487,0,0,0,7342
488,488,0,0,0,7342
489,489,0,0,0,7342
490,490,0,0,0,7342
491,491,0,0,0,7342
492,492,0,0,0,7342
493,493,0,0,0,7342
494,494,0,0,0,7342
495,495,0,0,0,7342
496,496,0,0,0,7342
497,497,0,0,0,7342
498,498,0,0,0,7342
499,499,0,0,0,7342
500,500,0,0,0,7342
501,501,0,0,0,7342
502,502,0,0,0,7342
503,503,0,0,0,7342
504,504,0,0,0,7342
505,505,0,0,0,7342
506,506,0,0,0,7342
507,507,0,0,0,7342
508,508,0,0,0,7342
509,509,0,0,0,7342
510,510,0,0,0,7342
