Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
254,254,0,0,0,647
255,255,0,0,0,647
256,256,0,0,0,647
257,257,0,0,0,647
258,258,0,0,0,647
259,259,0,0,0,647
260,260,0,0,0,647
261,261,0,0,0,647
262,262,0,0,0,647
263,263,0,0,0,647
264,264,0,0,0,647
265,265,0,0,0,647
266,266,0,0,0,647
267,267,0,0,0,647
268,268,0,0,0,647
269,269,0,0,0,647
270,270,0,0,0,647
271,271,0,0,0,647
272,272,0,0,0,647
273,273,0,0,0,647
274,274,0,0,0,647
275,275,0,0,0,647
276,276,0,0,0,647
277,277,0,0,0,647
278,278,0,0,0,647
279,279,0,0,0,647
280,280,0,0,0,647
281,281,0,0,0,647
282,282,0,0,0,647
283,283,0,0,0,647
284,284,0,0,0,647
285,285,0,0,0,647
286,286,0,0,0,647
287,287,0,0,0,647
288,288,0,0,0,647
289,289,0,0,0,647
290,290,0,0,0,647
291,291,0,0,0,647
292,292,0,0,0,647
293,293,0,0,0,647
294,294,0,0,0,647
295,295,0,0,0,647
296,296,0,0,0,647
297,297,0,0,0,647
298,298,0,0,0,647
299,299,0,0,0,647
300,300,0,0,0,647
301,301,0,0,0,647
302,302,0,0,0,647
303,303,0,0,0,647
304,304,0,0,0,647
305,305,0,0,0,647
306,306,0,0,0,647
307,307,0,0,0,647
308,308,0,0,0,647
309,309,0,0,0,647
310,310,0,0,0,647
311,311,0,0,0,647
312,312,0,0,0,647
313,313,0,0,0,647
314,314,0,0,0,647
315,315,0,0,0,647
316,316,0,0,0,647
317,317,0,0,0,647
318,318,0,0,0,647
319,319,0,0,0,647
320,320,0,0,0,647
321,321,0,0,0,647
322,322,0,0,0,647
323,323,0,0,0,647
324,324,0,0,0,647
325,325,0,0,0,647
326,326,0,0,0,647
327,327,0,0,0,647
328,328,0,0,0,647
329,329,0,0,0,647
330,330,0,0,0,647
331,331,0,0,0,647
332,332,0,0,0,647
333,333,0,0,0,647
334,334,0,0,0,647
335,335,0,0,0,647
336,336,0,0,0,647
337,337,0,0,0,647
338,338,0,0,0,647
339,339,0,0,0,647
340,340,0,0,0,647
341,341,0,0,0,647
342,342,0,0,0,647
343,343,0,0,0,647
344,344,0,0,0,647
345,345,0,0,0,647
346,346,0,0,0,647
347,347,0,0,0,647
348,348,0,0,0,647
349,349,0,0,0,647
350,350,0,0,0,647
351,351,0,0,0,647
352,352,0,0,0,647
353,353,0,0,0,647
354,354,0,0,0,647
355,355,0,0,0,647
356,356,0,0,0,647
357,357,0,0,0,647
358,358,0,0,0,647
359,359,0,0,0,647
360,360,0,0,0,647
361,361,0,0,0,647
362,362,0,0,0,647
363,363,0,0,0,647
364,364,0,0,0,647
365,365,0,0,0,647
366,366,0,0,0,647
367,367,0,0,0,647
368,368,0,0,0,647
369,369,0,1,0,647
370,370,0,0,1,643
371,371,0,0,4,647
372,372,0,0,0,647
373,373,0,0,0,647
374,374,0,0,0,647
375,375,0,0,0,647
376,376,0,0,0,647
377,377,0,0,0,647
378,378,0,0,0,647
379,379,0,0,0,647
380,380,0,0,0,647
381,381,0,0,0,647
382,382,0,0,0,647
383,383,0,0,0,647
384,384,0,0,0,647
385,385,0,0,0,647
386,386,0,0,0,647
387,387,0,0,0,647
388,388,0,0,0,647
389,389,0,0,0,647
390,390,0,0,0,647
391,391,0,0,0,647
392,392,0,0,0,647
393,393,0,0,0,647
394,394,0,0,0,647
395,395,0,0,0,647
396,396,0,0,0,647
397,397,0,0,0,647
398,398,0,0,0,647
399,399,0,0,0,647
400,400,0,0,0,647
401,401,0,0,0,647
402,402,0,0,0,647
403,403,0,0,0,647
404,404,0,0,0,647
405,405,0,0,0,647
406,406,0,0,0,647
407,407,0,0,0,647
408,408,0,0,0,647
409,409,0,0,0,647
410,410,0,0,0,647
